,productId,productNumber,status,productUpdateDate,owningOrganisationId,owningOrganisationNumber,owningOrganisationName,productName,productDescription,productCategoryId,productImage,boundary,addresses,score,productPixelURL
0,64a54c32cac8ad24a2eb992d,SY0001760,ACTIVE,Thu Jul 06 2023 14:20:40 GMT+0400 (+04),62f4dd13e69fb30bfe522d10,OR0000938,Britannia Investment ,Britannia Hotel & Restaurant,"Looking for a peaceful and relaxing  place to stay on Praslin Island, you might want to check out Britannia hotel and restaurant. It's a small hotel and restaurant located at grand anse not far from the long sandy beach of grand anse. You can enjoy the creole cuisine at the restaurant, or relax by the swimming pool. The staff are friendly and helpful, Britannia hotel and restaurant is the perfect spot to unwind and have a memorable vacation.",ACCOMM,"https://assets.parrapi.com/images/904a262d2257426754344e40bd76823a.jpeg?rect=0,0,4032,3024&w=280&h=210&rot=360","-4.3190725,55.69395129999999","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Hotel', 'islandType': 'Inner', 'island': 'Praslin', 'islandArea': 'Baie St Anne', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=64a54c32cac8ad24a2eb992d&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
1,609a7b48eb9e420387cd8dbd,SY0000312,ACTIVE,Thu Jul 13 2023 15:24:13 GMT+0400 (+04),607823cbf086d52289b03b34,OR0000143,Mason's Travel,Carana Beach Hotel,"Carana Beach breathes a vibrancy and energy that is born of its past and of the passion of those that work devotedly to create an authentic Seychellois sanctuary.
With it’s 40 chalets - including 12 Ocean View Pool chalets with private plunge pools - overlooking one of Mahe’s most dramatically picturesque beaches, Carana Beach established a new category of boutique accommodation in 2016. Designed to accentuate the wild nature of this unique location, the view from every room spills out onto striking blue seas framed by lush jungle, massive granite pillars and its white-sand beach.

Modern twists on traditional island architecture, contemporary ocean-themed décor and a home-grown culture of genuine Seychelles hospitality, all feed into a casual yet chic ambiance for guests to dine, unwind and recharge.

A reflection of the raw, unprocessed character of the Seychelles, Carana Beach Hotel offers a rare proposition: an authentic island experience that pairs luxurious high-end standards with accessible rates.

The Philosophy:
This boutique hotel has an ethos and spirit of its own for every guest to discover. When you come to Carana Beach Hotel, you come to uncover the true island experience where the Seychelles spirit awaits you.",ACCOMM,"https://assets.parrapi.com/images/0ab4282d4747d8e3ef9ca8adecc99f24.jpeg?rect=609,0,2183,1637&w=280&h=210&rot=360","-4.5651925,55.446469","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'CaranaBeach Hotel', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Anse Etoile', 'city': 'Machabee', 'state': 'Glacis', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=609a7b48eb9e420387cd8dbd&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
2,6052ff30db88c801b31c774d,SY0000133,ACTIVE,Thu Aug 10 2023 14:51:23 GMT+0400 (+04),6052fc35dd398e69cc218436,OR0000045,Cerf Island Resort,Cerf Island Resort,"……a little hideaway in the heart of the Indian Ocean 
Nestled into the lush hillside and bordered by a marine nature reserve, Cerf Island Resort is a short boat ride across the crystal clear waters from Mahé. 
The boutique Resort offers 24 intimate villas, within a naturally elegant surroundings of a tropical paradise, two restaurants, two infinity pools, a pool bar, two beach, a relaxing sea view lounge and a spa ‘Le Spa Latanier’ – thus offering a truly authentic and sumptuous Creole experience.",ACCOMM,"https://assets.parrapi.com/images/8f190528f3536cd4e3ad1f691b3dc4f8.jpeg?rect=500,0,3000,2250&w=280&h=210&rot=360","-4.630505630226838,55.4934561252594","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Mahe', 'islandType': 'Inner', 'island': 'Cerf', 'islandArea': '', 'city': 'Providence', 'state': 'Cascade', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=6052ff30db88c801b31c774d&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
3,64a418bbc5b9052f4eebdc3c,SY0001747,ACTIVE,Fri Aug 11 2023 11:52:59 GMT+0400 (+04),64a417f2f08cd63e7b30d9ad,OR0001349,CHATEAU SANS SOUCIS,CHATEAU SANS SOUCI,"Luxurious four star hotel in the Seychelles. Residing in the Praslin Islands prestige location 200 meters from the longest beach in Seychelles. Chateau Sans Souci offers a four star service with 14 spacious air-conditioned suites equipped with mini bar, hair dryer, satellite TV and direct in suite telephone services.

Indulge yourself in our fully equipped restaurant serving freshly sourced ingredients. Our Chateau gives you the choice of poolside or full air-conditioned wine and dine service. After enjoying the fine cuisine, the sounds from the ""KOKORIKO"" Bar & Lounge are there to entertain you for the rest of the evening. With state-of-the-art lighting effects, popular tracks both modern and old music varieties the disco facility will make your stay a memorable one.

Our four-star establishment Chateau Sans Souci offers direct access to swimming pool. Our 14 Hotel suites are fully equipped with air-condition, mini bar, Satellite TV & direct telephone services.

Indulge yourself in our fully equipped restaurant serving freshly sourced ingredients. Our Chateau gives you the choice of poolside or full air-conditioned wine and dine service.",ACCOMM,"https://assets.parrapi.com/images/fa0a6390ad429067ad1510bd6e44a75c.jpeg?rect=0,0,4032,3024&w=280&h=210&rot=360","-4.312701186417416,55.68621575832367","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'SMALL HOTEL', 'islandType': 'Inner', 'island': 'Praslin', 'islandArea': 'Baie St Anne', 'city': 'Grand Anse', 'state': 'Grand Anse Praslin', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=64a418bbc5b9052f4eebdc3c&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
4,64c232e5872c347ab14c8aac,SY0001824,ACTIVE,Tue Aug 22 2023 09:10:15 GMT+0400 (+04),64c2322318cbf41b911b4a28,OR0001401,Chateau St-Cloud,Chateau St Cloud,"Nestled at the foothills of Eagle's Nest Mountain, Hotel Chateau St Cloud offers a tropical garden with an outdoor swimming pool and a restaurant. It is just a 15 minutes walk from Anse Reunion Beach.
The spacious rooms all come with a seating area and TV. They are also equipped with a minibar and tea and coffee making facilities. Each en suite bathroom has a hairdryer and shower. Some also include a bath .
Guests can enjoy creole cuisine in the restaurant or drink at the poolside bar. They can also relax by the swimming pool or rent bicycles from the hotel.

Hotel chateau St-Cloud is located 2 KM from the inter island Ferry and 3 KM from Anse Source D'Argent Beach. The nearest airport is on Praslin Island . Couples particularly like the location . They rated 8.6 for a two person trip.",ACCOMM,"https://assets.parrapi.com/images/906160ec3e8531c270104ede6ac02b15.jpeg?rect=0,875,3000,2250&w=280&h=210&rot=360","-4.3549268198365265,55.83654284477234","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': 'Villa, apartment', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'Anse Reunion', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=64c232e5872c347ab14c8aac&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
5,649c01b391594c3d3dc5ccb5,SY0001661,ACTIVE,Mon Aug 28 2023 16:31:51 GMT+0400 (+04),649c014b71381b5dfe2f8eba,OR0001259,Chez Marston,Chez Marston Hotel,"Chez Marston, a small hotel and restaurant on La Digue island, is located a 5-minute walk from La Passe. Chez Marston welcomes you with simplicity to ensure a successful and unforgettable stay. Going to Chez Marston means immersing yourself in the typical Seychellois experience in a relaxed and friendly atmosphere.",ACCOMM,"https://assets.parrapi.com/images/d4f88f6394164777c8173ac3e2a0a005.jpeg?rect=0,0,2048,1536&w=280&h=210&rot=360","-4.351110348701445,55.827407240867615","[{'address_type': 'PHYSICAL', 'address_line': '', 'address_line2': '', 'islandType': 'Inner', 'island': 'La Digue', 'islandArea': 'La Passe', 'city': 'La Digue', 'state': 'La Digue', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=649c01b391594c3d3dc5ccb5&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
6,61e813199faa193e5da3f97e,SY0000675,ACTIVE,Thu Dec 22 2022 09:40:50 GMT+0400 (+04),61e81219ef6301255868505f,OR0000485,Coco de Mer hotel and Black Parrot Suites,Coco de Mer Hotel and Black Parrot Suites,"Beauty, safety, peace, tranquility and quality, surrounded by nature and named after the unique Coco de Mer Palm tree which, although extremely rare, occurs in abundance in the tropical forests 
neighboring the hotel. 
This modern, newly renovated, four-star, property lies in over 200 acres of natural beauty on the
edge of the Indian Ocean. 
Spacious grounds, comfortable rooms, private location and a friendly atmosphere, offering spectacular views of the surrounding islands, forested mountainsides and glorious sunsets.",ACCOMM,"https://assets.parrapi.com/images/f448badb98dd5e76a6746b77e1477bd3.jpeg?rect=405,0,6549,4912&w=280&h=210&rot=360","0,0","[{'address_type': 'PHYSICAL', 'address_line': 'Anse Boise de Rose', 'address_line2': 'Hotel', 'islandType': 'Inner', 'island': 'Praslin', 'islandArea': 'Grand Anse', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=61e813199faa193e5da3f97e&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
7,63c91ab240f7642a8cb39301,SY0001368,ACTIVE,Mon Oct 09 2023 10:25:29 GMT+0400 (+04),63c9198d983af171317e28d9,OR0001076,Constance Lemuria Seychelles,Constance Lemuria Seychelles,"Spend some unforgettable Seychelles holidays in this beautiful 5-star secluded paradise, which is nestled among empty white sandy beaches and lush flora and fauna, including a turtle sanctuary. Unwind in swimming pools seemingly crafted by nature, indulge in fine food and revive your senses with customised spa treatments at Constance Lemuria, our Seychelles 5-star hotel in Praslin Island.
Fully trained coordinators at the Constance Kids Club will lead your children to wonderful island exploration trips, culinary activities, scavenger hunts and more. For true adventure and wonderful memories, try the only 18-hole golf course in the Seychelles or explore the world-famous diving sites!",ACCOMM,"https://assets.parrapi.com/images/cc731f407e3f4ca42beee16bdddc1a24.jpeg?rect=272,0,4287,3215&w=280&h=210&rot=360","-4.309571,55.6824977","[{'address_type': 'PHYSICAL', 'address_line': 'Anse Kerlan', 'address_line2': '', 'islandType': 'Inner', 'island': 'Praslin', 'islandArea': 'Grand Anse', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=63c91ab240f7642a8cb39301&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
8,61fe1fe93c6029350a442f7c,SY0000724,ACTIVE,Mon Oct 09 2023 11:16:02 GMT+0400 (+04),61ce91386494783f7e9a958b,OR0000461,Hilton Seychelles,DoubleTree by Hilton Seychelles - Allamanda Resort & Spa,"Resting amid 2.5 acres of landscaped gardens, our resort overlooks the Indian Ocean with access to a tranquil, private beachfront. We're less than 10 minutes from South Mahé's famous Anse Intendance waterfront. 
Enjoy our eforea spa, kayaks and snorkeling equipment, and outdoor infinity pool with ocean views.  
Les Palms Restaurant serves up relaxed, buffet-style themed cuisine alongside live cooking stations. 
Drink in waterside views at The Oceanview Bar, also serving light snacks and afternoon tea.",ACCOMM,"https://assets.parrapi.com/images/b14cac65cfbe67a8112d24a563657f89.jpeg?rect=1,0,3989,2992&w=280&h=210&rot=360","-4.7755883,55.5261143","[{'address_type': 'PHYSICAL', 'address_line': 'Anse Forbans', 'address_line2': '', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Takamaka', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=61fe1fe93c6029350a442f7c&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
9,61f22b7e02da9a3cd8794f67,SY0000699,ACTIVE,Wed Feb 01 2023 10:46:39 GMT+0400 (+04),61efbbb2ef63012558685088,OR0000494,Eden Bleu Hotel Seychelles,Eden Bleu Hotel,"Situated in the heart of Eden Island surrounded by entertainment, restaurants and shopping hub is the Eden Bleu Hotel, the most digitally advanced hotel in the Seychelles with only a 10 mins drive to the Seychelles international Airport and the capital Victoria. Where Business and Leisure are converged in one place. The hotel offers 88 Luxury rooms including a Presidential suite. Eden Bleu Hotel also offers conferencing, meeting and Banqueting facilities with a seating capacity of 300 delegates. The Marlin Bleu restaurant and Emperor Terrace overlooking the spectacular view of the infinity pool and Eden marina, offers a mouthwatering menu with a mix of international and Seychelles cuisine and international wines and classical cocktails prepared from the Bourgeois Bar.",ACCOMM,"https://assets.parrapi.com/images/7e33cbe579feb04aaa6ef7223d755406.jpeg?rect=0,0,2048,1536&w=280&h=210&rot=360","-4.6384732,55.4769334","[{'address_type': 'PHYSICAL', 'address_line': 'Eden Island', 'address_line2': '', 'islandType': 'Inner', 'island': 'Mahe', 'islandArea': 'Roche Caiman', 'city': '', 'state': '', 'postcode': '', 'country': 'Seychelles'}]",1,https://api.parrapi.com/pixel?productId=61f22b7e02da9a3cd8794f67&distributorId=5f452f5e6b6fbb21dff8dd49&language=en&syndicationMethod=API
